K,RMSE,Precision@10,Time(s)
5,2.2165824323648775,0.05454545454545454,560.54
10,2.2248686690557045,0.01818181818181818,587.82
15,2.219793315237418,0.00909090909090909,654.72
20,2.2175920907504176,0.0,615.61
30,2.2108640810407234,0.00909090909090909,600.27
50,2.211709043949582,0.01818181818181818,601.24
